"Uke","Nye pasienter innlagt med
covid-19 som hovedårsak","Nye covid-19 pasienter 
innlagt i intensivavdeling","Nye covid-19 assosierte dødsfall"
"2020-09",0,0,0
"2020-10",2,0,0
"2020-11",50,11,4
"2020-12",188,44,9
"2020-13",288,77,23
"2020-14",197,36,44
"2020-15",91,12,60
"2020-16",66,15,46
"2020-17",40,13,23
"2020-18",16,3,11
"2020-19",17,4,11
"2020-20",11,3,5
"2020-21",10,1,2
"2020-22",10,1,6
"2020-23",2,0,1
"2020-24",8,4,2
"2020-25",7,2,5
"2020-26",13,0,3
"2020-27",6,1,1
"2020-28",2,1,1
"2020-29",8,1,1
"2020-30",3,1,0
"2020-31",11,0,2
"2020-32",16,1,0
"2020-33",10,1,3
"2020-34",12,1,1
"2020-35",12,1,0
"2020-36",12,1,1
"2020-37",20,2,2
"2020-38",23,2,3
"2020-39",15,3,5
"2020-40",23,3,2
"2020-41",32,2,2
"2020-42",22,6,1
"2020-43",43,4,3
"2020-44",54,5,2
"2020-45",99,17,10
"2020-46",110,17,10
"2020-47",109,24,21
"2020-48",95,14,31
"2020-49",111,19,23
"2020-50",82,20,25
"2020-51",99,14,17
"2020-52",78,14,25
"2020-53",98,11,30
"2021-01",91,22,37
"2021-02",90,15,34
"2021-03",91,14,20
"2021-04",48,10,24
"2021-05",34,10,17
"2021-06",46,8,18
"2021-07",62,8,11
"2021-08",73,12,8
"2021-09",105,18,6
"2021-10",173,30,10
"2021-11",229,47,13
"2021-12",207,55,18
"2021-13",210,55,18
"2021-14",200,32,24
"2021-15",171,34,24
"2021-16",133,29,13
"2021-17",71,14,16
"2021-18",71,12,5
"2021-19",65,13,8
"2021-20",61,14,3
"2021-21",51,10,2
"2021-22",50,8,4
"2021-23",29,3,1
"2021-24",22,1,1
"2021-25",20,5,3
"2021-26",17,2,2
"2021-27",18,5,0
"2021-28",18,5,2
"2021-29",19,3,1
"2021-30",20,3,4
"2021-31",34,6,4
"2021-32",36,3,5
"2021-33",49,6,4
"2021-34",69,8,10
"2021-35",69,17,6
"2021-36",101,24,18
"2021-37",79,12,16
"2021-38",64,17,13
"2021-39",60,10,9
"2021-40",58,15,10
"2021-41",62,16,10
"2021-42",81,13,14
"2021-43",116,22,20
"2021-44",145,41,38
"2021-45",165,29,50
"2021-46",151,24,55
"2021-47",180,45,55
"2021-48",218,45,57
"2021-49",227,71,54
"2021-50",255,63,67
"2021-51",199,52,56
"2021-52",189,40,49
"2022-01",151,32,31
"2022-02",122,18,29
"2022-03",158,24,29
"2022-04",229,19,33
"2022-05",246,21,54
"2022-06",323,15,61
"2022-07",454,40,86
"2022-08",539,38,114
"2022-09",572,64,156
"2022-10",560,41,189
"2022-11",413,36,203
"2022-12",359,35,172
"2022-13",265,31,130
"2022-14",222,25,125
"2022-15",165,14,81
"2022-16",143,19,64
"2022-17",83,11,72
"2022-18",85,10,46
"2022-19",94,7,26
"2022-20",86,7,38
"2022-21",95,14,36
"2022-22",110,11,39
"2022-23",168,9,33
"2022-24",249,20,40
"2022-25",346,28,68
"2022-26",384,29,72
"2022-27",346,26,96
"2022-28",299,21,103
"2022-29",224,21,91
"2022-30",238,22,75
"2022-31",192,22,66
"2022-32",218,20,57
"2022-33",139,10,56
"2022-34",116,11,33
"2022-35",101,9,25
"2022-36",113,11,40
"2022-37",93,11,24
"2022-38",98,7,28
"2022-39",106,8,24
"2022-40",112,6,31
"2022-41",127,12,29
"2022-42",132,11,25
"2022-43",176,11,23
"2022-44",205,11,52
"2022-45",216,14,46
"2022-46",218,22,50
"2022-47",284,23,56
"2022-48",298,16,70
"2022-49",349,25,80
"2022-50",410,24,95
"2022-51",408,32,91
"2022-52",386,37,97
"2023-01",240,24,109
"2023-02",125,14,71
"2023-03",77,10,47
"2023-04",65,5,27
"2023-05",65,11,14
"2023-06",58,5,17
"2023-07",51,4,18
"2023-08",78,5,10
"2023-09",91,5,17
"2023-10",83,4,19
"2023-11",120,6,21
"2023-12",131,11,18
"2023-13",162,11,25
"2023-14",177,16,31
"2023-15",119,6,28
"2023-16",138,3,39
"2023-17",86,7,32
"2023-18",90,7,21
"2023-19",99,5,16
"2023-20",64,1,15